kode_bps,nama_bps,kode_pos,nama_pos
1202054005,AEK NABARA,22955,Aek Nabara
1203090021,AEK NABARA,22736,Aek Nabara
1203101066,AEK NABARA,22741,Aek Nabara
1205082004,AEK NABARA,22466,Aek Nabara
1221091013,AEK NABARA JAE,22796,Aek Nabara Jae
1221091011,AEK NABARA JULU,22796,Aek Nabara Julu
1221091012,AEK NABARA TONGA,22796,Aek Nabara Tonga
1208032006,AEK NABUNTU,21276,Aek Nabuntu
1204062003,AEK NADUA,22572,Aek Nadua
1208020022,AEK NAGALI,21274,Aek Nagali
1277030015,AEK NAJAJI,22743,Aek Najaji
1202020035,AEK NANGALI,22983,Aek Nangali
1203080003,AEK NATAS,22732,Aek Natas
1203010099,AEK NAULI,22772,Aek Nauli
1217080023,AEK NAULI,22392,Aek Nauli
1219070002,AEK NAULI,21658,Aek Nauli
1273020001,AEK NAULI,21126,Aek Nauli
1205110007,AEK NAULI I,22471,Aek Nauli I
1205110005,AEK NAULI II,22471,Aek Nauli II
1205110005,AEK NAULI II,22471,Aek Nauli III
1215080001,AEK NAULI II,22483,Aek Nauli II
1205110006,AEK NAULI III,22471,Aek Nauli II
1205110006,AEK NAULI III,22471,Aek Nauli III
1205110023,AEK NAULI IV,22471,Aek Nauli IV
1202051009,AEK NGALI,22952,Aek Ngali
1207220008,AEK PAING,21419,Aek Paing
1203091007,AEK PARDOMUAN,22737,Aek Pardomuan
1271030007,AEK PAROMBUNAN,22538,Aek Parombunan
1203012015,AEK PARUPUK,22775,Aek Parupuk
1203100037,AEK PINING,22738,Aek Pining
1205030005,AEK RAJA,22453,Aek Raja
1220050115,AEK RARU,22783,Aekraru
1204061006,AEK RASO,22571,Aek Raso
1222020005,AEK RASO,21572,Aek Raso
1203101069,AEK SABAON,22741,Aek Sabaon
1220030005,AEK SIALA,22782,Aek Siala
1221090062,AEK SIALA,22755,Aek Siala
1205060023,AEK SIAN SIMUN,22416,Aek Siansimun
1220080026,AEK SIMANAT,22785,Aek Simanap
1203160122,AEK SIMOTUNG,22757,Aek Simotung
1208021006,AEK SONGSONGAN,21293,Aek Songsongan
1221060019,AEK SORIK,22793,Aek Sorik
1220040036,AEK SUHAT,22753,Aek Suhat
1220070083,AEK SUHAT JAE,22756,Aek Suhat Jae
1220070058,AEK SUHAT TR,22756,Aek Suhat TR
1220070054,AEK SUNDUR,22756,Aek Sundur
1277020005,AEK TAMPANG,22726,Aek Tampang
1221090073,AEK TANDUK,22755,Aek Tanduk
1205100004,AEK TANGGA,22473,Aek Tangga
1220070064,AEK TANGGA,22756,Aek Tangga
1223020014,AEK TAPA,21752,Aek Tapa
1208061005,AEK TELUK KIRI,21277,Air Teluk Kiri
1221050079,AEK TINGA,22765,Aek Tinga
1204030010,AEK TOLANG,22613,Aek Tolang
1220030009,AEK TOROP,22782,Aek Torop
1277030010,AEK TUHUL,22743,Aek Tuhul
1221090070,AEK TUNJANG,22755,Aek Tunjang
1203012017,AEK UNCIM,22775,Aek Uncim
1206051006,AEK UNSIN,22354,Aek Unsim
1203161091,AEK URAT,22759,Aek Urat
1221020032,AEKHARUAYA),22791,Aek Haruaya
5311071017,AELIPO,86378,Aelipo
5311071005,AEMURI,86378,Aemuri
7305060007,AENG BATU-BATU,92255,Aeng Batu Batu
3527030002,AENG SAREH,69219,Aengsareh
7305060010,AENG TOWA,92255,Aeng Towa
3529040004,AENGANYAR,69482,Aeng Anyar
3529020007,AENGBAJA KENEK,69466,Aengbaja Kenek
3529020006,AENGDAKE,69466,Aengdake
3529160004,AENGMERAH,69453,Aeng Merah
3529010013,AENGPANAS,69465,Aeng Panas
3526160014,AENGTABAR,69156,Aeng Tabar
3529030001,AENGTONGTONG,69467,Aeng Tong-tong
7405041006,AEPODU,93887,Aepodu
1221050087,AER BALE,22765,Aer Bale
5318060023,AERAMO,86911,Aerama
7411010008,AERE,93578,Aere
7105090005,AERGALE,95961,Aergale
7172030017,AERTEMBAGA DUA,95526,Aertembaga Dua
7172030006,AERTEMBAGA SATU,95526,Aertembaga Satu
5318010001,AEWOE,86963,Aewoe
5311060022,AEWORA,86381,Aewora
8272020002,AFA AFA,97825,Afa Afa
1207080005,AFDELING I RANTAUPRAPAT,21459,AFD.I Rantauprapat
1207080007,AFDELING II RANTAUPRAPAT,21459,AFD.II Rantauprapat
1218040014,AFDELING VII DOLOK ILIR,20993,Afd. VII Dolok Ilir
8271010011,AFE-TADUMA,97731,Afe Taduma
1224110014,AFIA,22853,Afia
1278060009,AFIA,22821,Afia
9401050011,AFKAB MAKMUR,99652,Efkab Makmur
5303190007,AFOAN,85365,Afoan
9109080003,AFRAWI,98351,Ayawi
9102020013,AFUAFU,98673,Afu Afu
1224100004,AFULU,22857,Afulu
9433010003,AGADUGUME,98987,Agandugume
6103020007,AGAK,78358,Agak
9415070026,AGANI,99778,Agani
9435010015,AGAPA,98777,Agapa
9410071004,AGAPO / WIDIMEIDA,98761,Widimeida
3512150008,AGEL,68372,Agel
9414010011,AGHAM,99872,Agham
9418040040,AGIMDEK,99414,Agimdek
9418015007,AGIN,99456,Agin
9435040001,AGISIGA,98773,Agisiga
9433020009,AGIYOME,98984,Agiyome
3306010010,AGLIK,54165,Aglik
1803110040,AGOM,35519,Agom
9433050006,AGUIT,98985,Aguit
6309060009,AGUNG,71514,Agung
6501010006,AGUNG BARU,77574,Agung Baru
1811020021,AGUNG BATIN,34998,Agung Batin
1808031007,AGUNG DALEM,34685,Agung Dalem
1609050021,AGUNG JATI,32362,Agung Jati
1606101024,AGUNG JAYA,30758,Agung Jaya
1706051001,AGUNG JAYA,38782,Agung Jaya
1808031010,AGUNG JAYA,34685,Agung Jaya
1812080001,AGUNG JAYA,34484,Agung Jaya
1673020007,AGUNG LAWANGAN,31545,Agung Lawongan
6202231008,AGUNG MULYA,74343,Agung Mulya
3318080017,AGUNGMULYO,59185,Agungmulyo
8207010016,AHA,97771,Aha
