kode_bps,nama_bps,kode_pos,nama_pos
7408,KOLAKA UTARA,93900,KOLAKA UTARA
7403,KONAWE,93400,KONAWE
7412,KONAWE KEPULAUAN,93400,KONAWE KEPULAUAN
7405,KONAWE SELATAN,93800,KONAWE SELATAN
7410,KONAWE UTARA,93300,KONAWE UTARA
6302,KOTA BARU,72100,KOTABARU
7174,KOTAMOBAGU,95700,KOTA KOTAMOBAGU
6201,KOTAWARINGIN BARAT,74100,KOTAWARINGIN BARAT
6202,KOTAWARINGIN TIMUR,74300,KOTAWARINGIN TIMUR
1401,KUANTAN SINGINGI,29500,KUANTAN SINGINGI
6112,KUBU RAYA,78300,KUBU RAYA
3319,KUDUS,59300,KUDUS
3401,KULON PROGO,55600,KULON PROGO
3208,KUNINGAN,45500,KUNINGAN
5303,KUPANG,85300,KUPANG
5371,KUPANG,85100,KOTA KUPANG
5371,KUPANG,85200,KOTA KUPANG
6402,KUTAI BARAT,75700,KUTAI BARAT
6403,KUTAI KARTANEGARA,75500,KUTAI KARTANEGARA
6404,KUTAI TIMUR,75600,KUTAI TIMUR
1207,LABUHAN BATU,21400,LABUHANBATU
1222,LABUHAN BATU SELATAN,21500,LABUHANBATU SELATAN
1223,LABUHAN BATU UTARA,21700,LABUHANBATU UTARA
1604,LAHAT,31400,LAHAT
6207,LAMANDAU,74600,LAMANDAU
3524,LAMONGAN,62200,LAMONGAN
1801,LAMPUNG BARAT,34800,LAMPUNG BARAT
1803,LAMPUNG SELATAN,35500,LAMPUNG SELATAN
1805,LAMPUNG TENGAH,34200,LAMPUNG TENGAH
1804,LAMPUNG TIMUR,34300,LAMPUNG TIMUR
1806,LAMPUNG UTARA,34500,LAMPUNG UTARA
6103,LANDAK,78300,LANDAK
1213,LANGKAT,20700,LANGKAT
1213,LANGKAT,20800,LANGKAT
1173,LANGSA,24400,ACEH TIMUR
1173,LANGSA,24400,KOTA LANGSA
9430,LANNY JAYA,99500,JAYAWIJAYA
9430,LANNY JAYA,99500,LANNY JAYA
9430,LANNY JAYA,99500,PEGUNUNGAN BINTANG
3602,LEBAK,42300,LEBAK
1707,LEBONG,39200,LEBONG
5308,LEMBATA,86600,LEMBATA
1174,LHOKSEUMAWE,24300,ACEH UTARA
1174,LHOKSEUMAWE,24300,KOTA LHOKSEUMAWE
2104,LINGGA,29800,LINGGA
5201,LOMBOK BARAT,83300,LOMBOK BARAT
5202,LOMBOK TENGAH,83500,LOMBOK TENGAH
5203,LOMBOK TIMUR,83600,LOMBOK TIMUR
5208,LOMBOK UTARA,83700,LOMBOK UTARA
1674,LUBUKLINGGAU,31600,KOTA LUBUK LINGGAU
3508,LUMAJANG,67300,LUMAJANG
7317,LUWU,91900,LUWU
7325,LUWU TIMUR,92900,LUWU TIMUR
7322,LUWU UTARA,92900,LUWU UTARA
3519,MADIUN,63100,MADIUN
3577,MADIUN,63100,KOTA MADIUN
3308,MAGELANG,56500,MAGELANG
3371,MAGELANG,56100,KOTA MAGELANG
3520,MAGETAN,63300,MAGETAN
6411,MAHAKAM HULU,75800,MAHAKAM ULU
3210,MAJALENGKA,45400,MAJALENGKA
7601,MAJENE,91400,MAJENE
7371,MAKASSAR,90100,KOTA MAKASSAR
7371,MAKASSAR,90200,KOTA MAKASSAR
5321,MALAKA,85700,MALAKA
3507,MALANG,65100,MALANG
3573,MALANG,65100,KOTA MALANG
6501,MALINAU,77500,MALINAU
8108,MALUKU BARAT DAYA,97400,MALUKU BARAT DAYA
8103,MALUKU TENGAH,97500,MALUKU TENGAH
8102,MALUKU TENGGARA,97600,KOTA TUAL
8102,MALUKU TENGGARA,97600,MALUKU TENGGARA
8101,MALUKU TENGGARA BARAT,97400,MALUKU TENGGARA BARAT
7603,MAMASA,91300,MAMASA
9428,MAMBERAMO RAYA,99300,MAMBERAMO RAYA
9431,MAMBERAMO TENGAH,99500,MAMBERAMO TENGAH
9431,MAMBERAMO TENGAH,99500,PEGUNUNGAN BINTANG
7604,MAMUJU,91500,MAMUJU
7606,MAMUJU TENGAH,91500,MAMUJU TENGAH
7605,MAMUJU UTARA,91500,MAMUJU UTARA
7171,MANADO,95100,KOTA MANADO
7171,MANADO,95200,KOTA MANADO
1202,MANDAILING NATAL,22900,MANDAILING NATAL
5313,MANGGARAI,86500,MANGGARAI
5315,MANGGARAI BARAT,86700,MANGGARAI BARAT
5319,MANGGARAI TIMUR,86800,MANGGARAI TIMUR
9105,MANOKWARI,98300,MANOKWARI
9105,MANOKWARI,98300,MANOKWARI SELATAN
9105,MANOKWARI,98300,TAMBRAUW
9111,MANOKWARI SELATAN,98300,MANOKWARI SELATAN
9414,MAPPI,99800,MAPPI
7308,MAROS,90500,MAROS
5271,MATARAM,83100,KOTA MATARAM
5271,MATARAM,83200,KOTA MATARAM
9110,MAYBRAT,98000,MAYBRAT
1275,MEDAN,20100,KOTA MEDAN
1275,MEDAN,20200,KOTA MEDAN
1275,MEDAN,20400,KOTA MEDAN
6110,MELAWI,78600,MELAWI
6104,MEMPAWAH,78900,MEMPAWAH
1502,MERANGIN,37300,MERANGIN
9401,MERAUKE,99600,MERAUKE
1811,MESUJI,34900,MESUJI
1872,METRO,34100,KOTA METRO
9412,MIMIKA,99900,MIMIKA
7102,MINAHASA,95600,MINAHASA
7105,MINAHASA SELATAN,95900,MINAHASA SELATAN
7109,MINAHASA TENGGARA,95900,MINAHASA TENGGARA
7106,MINAHASA UTARA,95300,MINAHASA UTARA
3516,MOJOKERTO,61300,MOJOKERTO
3576,MOJOKERTO,61300,KOTA MOJOKERTO
7203,MOROWALI,94900,MOROWALI
7212,MOROWALI UTARA,94900,MOROWALI UTARA
1603,MUARA ENIM,31300,MUARA ENIM
1603,MUARA ENIM,31800,MUARA ENIM
1603,MUARA ENIM,32300,MUARA ENIM
1505,MUARO JAMBI,36300,MUARO JAMBI
1706,MUKOMUKO,38700,MUKO MUKO
7402,MUNA,93600,MUNA
6213,MURUNG RAYA,73900,MURUNG RAYA
1606,MUSI BANYUASIN,30700,MUSI BANYUASIN
1605,MUSI RAWAS,31600,MUSI RAWAS
9404,NABIRE,98800,NABIRE
1115,NAGAN RAYA,23600,NAGAN RAYA
5318,NAGEKEO,86900,NAGEKEO
2103,NATUNA,29700,NATUNA
9429,NDUGA,99500,JAYAWIJAYA
9429,NDUGA,99500,NDUGA
9429,NDUGA,99500,PEGUNUNGAN BINTANG
5312,NGADA,86400,NGADA
3518,NGANJUK,64400,NGANJUK
3521,NGAWI,63200,NGAWI
1201,NIAS,22800,NIAS
1201,NIAS,22800,NIAS SELATAN
1201,NIAS,22800,NIAS UTARA
1225,NIAS BARAT,22800,NIAS
1225,NIAS BARAT,22800,NIAS BARAT
1225,NIAS BARAT,22800,NIAS UTARA
1214,NIAS SELATAN,22800,NIAS
1214,NIAS SELATAN,22800,NIAS BARAT
1214,NIAS SELATAN,22800,NIAS SELATAN
1224,NIAS UTARA,22800,NIAS BARAT
1224,NIAS UTARA,22800,NIAS UTARA
6504,NUNUKAN,77400,NUNUKAN
1610,OGAN ILIR,30800,OGAN ILIR
1602,OGAN KOMERING ILIR,30600,OGAN KOMERING ILIR
1601,OGAN KOMERING ULU,32100,OGAN KOMERING ULU
1608,OGAN KOMERING ULU SELATAN,32200,OGAN KOMERING ULU SELATAN
1609,OGAN KOMERING ULU TIMUR,32300,OGAN KOMERING ULU TIMUR
3501,PACITAN,63500,PACITAN
1371,PADANG,25100,KOTA PADANG
1371,PADANG,25200,KOTA PADANG
1221,PADANG LAWAS,22700,PADANG LAWAS
1221,PADANG LAWAS,22700,PADANG LAWAS UTARA
1220,PADANG LAWAS UTARA,22700,PADANG LAWAS
1220,PADANG LAWAS UTARA,22700,PADANG LAWAS UTARA
1220,PADANG LAWAS UTARA,22700,TAPANULI SELATAN
1277,PADANGSIDIMPUAN,22700,KOTA PADANGSIDIMPUAN
1673,PAGAR ALAM,31500,KOTA PAGAR ALAM
1216,PAKPAK BHARAT,22200,PAKPAK BHARAT
6271,PALANGKA RAYA,73100,KOTA PALANGKARAYA
6271,PALANGKA RAYA,73200,KOTA PALANGKARAYA
1671,PALEMBANG,30100,KOTA PALEMBANG
1671,PALEMBANG,30200,KOTA PALEMBANG
7373,PALOPO,91900,KOTA PALOPO
7271,PALU,94100,KOTA PALU
7271,PALU,94200,KOTA PALU
3528,PAMEKASAN,69300,PAMEKASAN
3601,PANDEGLANG,42200,PANDEGLANG
3218,PANGANDARAN,46500,PANGANDARAN
7309,PANGKAJENE DAN KEPULAUAN,90600,PANGKAJENE KEPULAUAN
1971,PANGKAL PINANG,33100,KOTA PANGKAL PINANG
9410,PANIAI,98700,PANIAI
7372,PAREPARE,91100,KOTA PARE PARE
1377,PARIAMAN,25500,KOTA PARIAMAN
7208,PARIGI MOUTONG,94400,PARIGI MOUTONG
6401,PASER,76200,PASER
3514,PASURUAN,67100,PASURUAN
3575,PASURUAN,67100,KOTA PASURUAN
3318,PATI,59100,PATI
1376,PAYAKUMBUH,26200,KOTA PAYAKUMBUH
9112,PEGUNUNGAN ARFAK,98300,MANOKWARI
9112,PEGUNUNGAN ARFAK,98300,MANOKWARI SELATAN
9112,PEGUNUNGAN ARFAK,98300,PEGUNUNGAN ARFAK
9417,PEGUNUNGAN BINTANG,99500,PEGUNUNGAN BINTANG
