BPS code,Area Name,postal code
3674060,PONDOK AREN,15421
3674060,PONDOK AREN,15424
3674060,PONDOK AREN,15425
3674060,PONDOK AREN,15426
3674060,PONDOK AREN,15427
3674060,PONDOK AREN,15428
3674060,PONDOK AREN,15429
3674030,PAMULANG,15431
3674030,PAMULANG,15432
3674030,PAMULANG,15433
3674030,PAMULANG,15434
3674030,PAMULANG,15435
3674030,PAMULANG,15436
3674030,PAMULANG,15437
3674030,PAMULANG,15438
3674050,CIPUTAT TIMUR,15441
3674050,CIPUTAT TIMUR,15442
3674050,CIPUTAT TIMUR,15443
3674050,CIPUTAT TIMUR,15444
3674050,CIPUTAT TIMUR,15445
3674050,CIPUTAT TIMUR,15446
3603,TANGERANG,15500
3603200,TELUKNAGA,15511
3603200,TELUKNAGA,15512
3603200,TELUKNAGA,15513
3603200,TELUKNAGA,15514
3603200,TELUKNAGA,15515
3603200,TELUKNAGA,15516
3603200,TELUKNAGA,15517
3603200,TELUKNAGA,15518
3603200,TELUKNAGA,15519
3603180,SEPATAN,15521
3603180,SEPATAN,15522
3603180,SEPATAN,15523
3603180,SEPATAN,15524
3603180,SEPATAN,15525
3603180,SEPATAN,15526
3603180,SEPATAN,15527
3603180,SEPATAN,15528
3603160,MAUK,15531
3603160,MAUK,15532
3603160,MAUK,15533
3603160,MAUK,15534
3603160,MAUK,15535
3603160,MAUK,15536
3603160,MAUK,15537
3603160,MAUK,15538
3603160,MAUK,15539
3603170,RAJEG,15541
3603170,RAJEG,15542
3603170,RAJEG,15543
3603170,RAJEG,15544
3603170,RAJEG,15545
3603170,RAJEG,15546
3603170,RAJEG,15547
3603170,RAJEG,15548
3603170,RAJEG,15549
3603150,KRONJO,15551
3603150,KRONJO,15552
3603150,KRONJO,15553
3603150,KRONJO,15554
3603150,KRONJO,15555
3603150,KRONJO,15556
3603150,KRONJO,15557
3603150,KRONJO,15558
3603150,KRONJO,15559
3603120,PASARKEMIS,15561
3603120,PASARKEMIS,15562
3603120,PASARKEMIS,15563
3603120,PASARKEMIS,15564
3603120,PASARKEMIS,15565
3603120,PASARKEMIS,15566
3603120,PASARKEMIS,15567
3603120,PASARKEMIS,15568
3603120,PASARKEMIS,15569
3603190,PAKUHAJI,15571
3603190,PAKUHAJI,15572
3603190,PAKUHAJI,15573
3603190,PAKUHAJI,15574
3603190,PAKUHAJI,15575
3603190,PAKUHAJI,15576
3603190,PAKUHAJI,15577
3603190,PAKUHAJI,15578
3603190,PAKUHAJI,15579
3603181,SEPATAN TIMUR,15581
3603181,SEPATAN TIMUR,15582
3603181,SEPATAN TIMUR,15583
3603181,SEPATAN TIMUR,15584
3603181,SEPATAN TIMUR,15585
3603181,SEPATAN TIMUR,15586
3603181,SEPATAN TIMUR,15587
3603181,SEPATAN TIMUR,15588
3603121,SINDANG JAYA,15591
3603121,SINDANG JAYA,15592
3603121,SINDANG JAYA,15593
3603121,SINDANG JAYA,15594
3603121,SINDANG JAYA,15595
3603121,SINDANG JAYA,15596
3603121,SINDANG JAYA,15597
3603,TANGERANG,15600
3603130,BALARAJA,15611
3603130,BALARAJA,15612
3603130,BALARAJA,15613
3603130,BALARAJA,15614
3603130,BALARAJA,15615
3603130,BALARAJA,15616
3603130,BALARAJA,15617
3603130,BALARAJA,15618
3603130,BALARAJA,15619
3603140,KRESEK,15621
3603140,KRESEK,15622
3603140,KRESEK,15623
3603140,KRESEK,15624
3603140,KRESEK,15625
3603140,KRESEK,15626
3603140,KRESEK,15627
3603140,KRESEK,15628
3603140,KRESEK,15629
3603132,SUKAMULYA,15631
3603132,SUKAMULYA,15632
3603132,SUKAMULYA,15633
3603132,SUKAMULYA,15634
3603132,SUKAMULYA,15635
3603132,SUKAMULYA,15636
3603132,SUKAMULYA,15637
3603132,SUKAMULYA,15638
3603131,JAYANTI,15641
3603131,JAYANTI,15642
3603131,JAYANTI,15643
3603131,JAYANTI,15644
3603131,JAYANTI,15645
3603131,JAYANTI,15646
3603131,JAYANTI,15647
3603131,JAYANTI,15648
3603141,GUNUNG KALER,15651
3603141,GUNUNG KALER,15652
3603141,GUNUNG KALER,15653
3603141,GUNUNG KALER,15654
3603141,GUNUNG KALER,15655
3603141,GUNUNG KALER,15656
3603141,GUNUNG KALER,15657
3603141,GUNUNG KALER,15658
3603141,GUNUNG KALER,15659
3603151,MEKAR BARU,15661
3603151,MEKAR BARU,15662
3603151,MEKAR BARU,15663
3603151,MEKAR BARU,15664
3603151,MEKAR BARU,15665
3603151,MEKAR BARU,15666
3603151,MEKAR BARU,15667
3603151,MEKAR BARU,15668
3603161,KEMIRI,15671
3603161,KEMIRI,15672
3603161,KEMIRI,15673
3603161,KEMIRI,15674
3603161,KEMIRI,15675
3603161,KEMIRI,15676
3603161,KEMIRI,15677
3603162,SUKADIRI,15681
3603162,SUKADIRI,15682
3603162,SUKADIRI,15683
3603162,SUKADIRI,15684
3603162,SUKADIRI,15685
3603162,SUKADIRI,15686
3603162,SUKADIRI,15687
3603162,SUKADIRI,15688
3603,TANGERANG,15700
3603030,CIKUPA,15710
3603040,PANONGAN,15710
3603010,CISOKA,15731
3603010,CISOKA,15732
3603010,CISOKA,15733
3603010,CISOKA,15734
3603010,CISOKA,15735
3603010,CISOKA,15736
3603010,CISOKA,15737
3603010,CISOKA,15738
3603010,CISOKA,15739
3603011,SOLEAR,15741
3603011,SOLEAR,15742
3603011,SOLEAR,15743
3603011,SOLEAR,15744
3603011,SOLEAR,15745
3603011,SOLEAR,15746
3603011,SOLEAR,15747
3603,TANGERANG,15800
3603050,CURUG,15810
3603060,LEGOK,15821
3603060,LEGOK,15822
3603060,LEGOK,15823
3603060,LEGOK,15824
3603060,LEGOK,15825
3603060,LEGOK,15826
3603060,LEGOK,15827
3603060,LEGOK,15828
3603051,KELAPA DUA,15831
3603051,KELAPA DUA,15832
3603051,KELAPA DUA,15833
3603051,KELAPA DUA,15834
3603051,KELAPA DUA,15835
3603051,KELAPA DUA,15836
3603081,CISAUK,15841
3603081,CISAUK,15842
3603081,CISAUK,15843
3603081,CISAUK,15844
3603081,CISAUK,15845
3603081,CISAUK,15846
3603070,PAGEDANGAN,15851
3603070,PAGEDANGAN,15852
3603070,PAGEDANGAN,15853
3603070,PAGEDANGAN,15854
3603070,PAGEDANGAN,15855
3603070,PAGEDANGAN,15856
3603070,PAGEDANGAN,15857
3603070,PAGEDANGAN,15858
3603070,PAGEDANGAN,15859
3603,TANGERANG,15900
3603020,TIGARAKSA,15911
3603020,TIGARAKSA,15912
3603020,TIGARAKSA,15913
3603020,TIGARAKSA,15914
3603020,TIGARAKSA,15915
3603020,TIGARAKSA,15916
3603020,TIGARAKSA,15917
3603021,JAMBE,15921
3603021,JAMBE,15922
3603021,JAMBE,15923
3603021,JAMBE,15924
3603021,JAMBE,15925
3603021,JAMBE,15926
3603021,JAMBE,15927
3603021,JAMBE,15928
3603021,JAMBE,15929
3603020,TIGARAKSA,15931
3603020,TIGARAKSA,15932
3603020,TIGARAKSA,15933
3603020,TIGARAKSA,15934
3603020,TIGARAKSA,15935
3603020,TIGARAKSA,15936
3603020,TIGARAKSA,15937
3271,BOGOR,16100
3271050,BOGOR BARAT,16111
3271050,BOGOR BARAT,16112
3271050,BOGOR BARAT,16113
3271050,BOGOR BARAT,16114
3271050,BOGOR BARAT,16115
3271050,BOGOR BARAT,16116
3271050,BOGOR BARAT,16117
3271050,BOGOR BARAT,16118
3271050,BOGOR BARAT,16119
3271040,BOGOR TENGAH,16121
3271040,BOGOR TENGAH,16122
3271040,BOGOR TENGAH,16123
3271040,BOGOR TENGAH,16124
3271040,BOGOR TENGAH,16125
3271040,BOGOR TENGAH,16126
